09:59:32.021 WARN  o.a.h.c.p.ResponseProcessCookies- Cookie rejected [JSESSIONID="04892A537DC0CB4083435A1E5A43F361.thrasher", version:0, domain:pubmedcentralcanada.ca, path:/pmcc/, expiry:null] Illegal 'path' attribute "/pmcc/". Path of origin: "/ptpicrender.fcgi"
09:59:33.085 WARN  o.a.h.c.p.ResponseProcessCookies- Invalid cookie header: "set-cookie: lang=en-ca; domain=pubmedcentralcanada.ca; path=/; expires=Thu, 02 Feb 2017 01:59:32 GMT". Invalid 'expires' attribute: Thu, 02 Feb 2017 01:59:32 GMT
09:59:33.663 WARN  o.a.h.c.p.ResponseProcessCookies- Invalid cookie header: "set-cookie: lang=en-ca; domain=pubmedcentralcanada.ca; path=/; expires=Thu, 02 Feb 2017 01:59:32 GMT". Invalid 'expires' attribute: Thu, 02 Feb 2017 01:59:32 GMT
09:59:34.735 WARN  o.a.h.c.p.ResponseProcessCookies- Invalid cookie header: "set-cookie: lang=en-ca; domain=pubmedcentralcanada.ca; path=/; expires=Thu, 02 Feb 2017 01:59:34 GMT". Invalid 'expires' attribute: Thu, 02 Feb 2017 01:59:34 GMT
09:59:36.212 WARN  o.a.h.c.p.ResponseProcessCookies- Invalid cookie header: "set-cookie: lang=en-ca; domain=pubmedcentralcanada.ca; path=/; expires=Thu, 02 Feb 2017 01:59:36 GMT". Invalid 'expires' attribute: Thu, 02 Feb 2017 01:59:36 GMT
09:59:37.595 WARN  o.a.h.c.p.ResponseProcessCookies- Invalid cookie header: "set-cookie: lang=en-ca; domain=pubmedcentralcanada.ca; path=/; expires=Thu, 02 Feb 2017 01:59:37 GMT". Invalid 'expires' attribute: Thu, 02 Feb 2017 01:59:37 GMT
09:59:40.796 WARN  o.a.h.c.p.ResponseProcessCookies- Invalid cookie header: "set-cookie: lang=en-ca; domain=pubmedcentralcanada.ca; path=/; expires=Thu, 02 Feb 2017 01:59:40 GMT". Invalid 'expires' attribute: Thu, 02 Feb 2017 01:59:40 GMT
10:00:02.464 WARN  o.a.h.c.p.ResponseProcessCookies- Invalid cookie header: "set-cookie: lang=en-ca; domain=pubmedcentralcanada.ca; path=/; expires=Thu, 02 Feb 2017 02:00:02 GMT". Invalid 'expires' attribute: Thu, 02 Feb 2017 02:00:02 GMT
10:00:04.991 WARN  o.a.h.c.p.ResponseProcessCookies- Cookie rejected [JSESSIONID="24252967A70630B919F256E1B2FB5578.eider", version:0, domain:pubmedcentralcanada.ca, path:/pmcc/, expiry:null] Illegal 'path' attribute "/pmcc/". Path of origin: "/ptpicrender.fcgi"
10:00:05.979 WARN  o.a.h.c.p.ResponseProcessCookies- Invalid cookie header: "set-cookie: lang=en-ca; domain=pubmedcentralcanada.ca; path=/; expires=Thu, 02 Feb 2017 02:00:05 GMT". Invalid 'expires' attribute: Thu, 02 Feb 2017 02:00:05 GMT
10:00:06.695 WARN  o.a.h.c.p.ResponseProcessCookies- Invalid cookie header: "set-cookie: lang=en-ca; domain=pubmedcentralcanada.ca; path=/; expires=Thu, 02 Feb 2017 02:00:06 GMT". Invalid 'expires' attribute: Thu, 02 Feb 2017 02:00:06 GMT
10:01:29.786 WARN  o.a.h.c.p.ResponseProcessCookies- Invalid cookie header: "set-cookie: lang=en-ca; domain=pubmedcentralcanada.ca; path=/; expires=Thu, 02 Feb 2017 02:01:29 GMT". Invalid 'expires' attribute: Thu, 02 Feb 2017 02:01:29 GMT
10:01:31.159 WARN  o.a.h.c.p.ResponseProcessCookies- Invalid cookie header: "set-cookie: lang=en-ca; domain=pubmedcentralcanada.ca; path=/; expires=Thu, 02 Feb 2017 02:01:31 GMT". Invalid 'expires' attribute: Thu, 02 Feb 2017 02:01:31 GMT
