08:59:32.847 WARN  o.a.h.c.p.ResponseProcessCookies- Cookie rejected [JSESSIONID="C108B221CEBE70381F438780E91917B4.eider", version:0, domain:pubmedcentralcanada.ca, path:/pmcc/, expiry:null] Illegal 'path' attribute "/pmcc/". Path of origin: "/ptpicrender.fcgi"
09:07:10.350 WARN  o.a.h.c.p.ResponseProcessCookies- Cookie rejected [JSESSIONID="A72D39463BB9A35B888D7B1C078B7972.eider", version:0, domain:pubmedcentralcanada.ca, path:/pmcc/, expiry:null] Illegal 'path' attribute "/pmcc/". Path of origin: "/ptpicrender.fcgi"
09:09:53.765 WARN  o.a.h.c.p.ResponseProcessCookies- Invalid cookie header: "set-cookie: lang=en-ca; domain=pubmedcentralcanada.ca; path=/; expires=Sat, 04 Feb 2017 01:09:52 GMT". Invalid 'expires' attribute: Sat, 04 Feb 2017 01:09:52 GMT
09:14:34.164 WARN  o.a.h.c.p.ResponseProcessCookies- Cookie rejected [JSESSIONID="84E91FC78031E0BE1CDC0BF3971586EF.eider", version:0, domain:pubmedcentralcanada.ca, path:/pmcc/, expiry:null] Illegal 'path' attribute "/pmcc/". Path of origin: "/ptpicrender.fcgi"
09:14:43.611 WARN  o.a.h.c.p.ResponseProcessCookies- Cookie rejected [JSESSIONID="644837477690CFAEA7CB02D2CEDA9179.eider", version:0, domain:pubmedcentralcanada.ca, path:/pmcc/, expiry:null] Illegal 'path' attribute "/pmcc/". Path of origin: "/ptpicrender.fcgi"
12:08:47.312 WARN  o.a.h.c.p.ResponseProcessCookies- Invalid cookie header: "set-cookie: lang=en-ca; domain=pubmedcentralcanada.ca; path=/; expires=Sat, 04 Feb 2017 04:08:46 GMT". Invalid 'expires' attribute: Sat, 04 Feb 2017 04:08:46 GMT
12:11:12.341 WARN  o.a.h.c.p.ResponseProcessCookies- Cookie rejected [JSESSIONID="AD48DFFF9B466E62D4DE87D65D14C209.thrasher", version:0, domain:pubmedcentralcanada.ca, path:/pmcc/, expiry:null] Illegal 'path' attribute "/pmcc/". Path of origin: "/ptpicrender.fcgi"
12:11:15.914 WARN  o.a.h.c.p.ResponseProcessCookies- Cookie rejected [JSESSIONID="4D1F8B049F87A931A10A903F0D6635D5.thrasher", version:0, domain:pubmedcentralcanada.ca, path:/pmcc/, expiry:null] Illegal 'path' attribute "/pmcc/". Path of origin: "/ptpicrender.fcgi"
12:13:28.712 WARN  o.a.h.c.p.ResponseProcessCookies- Invalid cookie header: "set-cookie: lang=en-ca; domain=pubmedcentralcanada.ca; path=/; expires=Sat, 04 Feb 2017 04:13:27 GMT". Invalid 'expires' attribute: Sat, 04 Feb 2017 04:13:27 GMT
12:31:56.693 WARN  o.a.h.c.p.ResponseProcessCookies- Cookie rejected [JSESSIONID="F62A67C166490CDA42145B0A20472BC2.thrasher", version:0, domain:pubmedcentralcanada.ca, path:/pmcc/, expiry:null] Illegal 'path' attribute "/pmcc/". Path of origin: "/ptpicrender.fcgi"
12:33:43.710 WARN  o.a.h.c.p.ResponseProcessCookies- Cookie rejected [JSESSIONID="C90F2C3B17CF24E4EDC54B5A3B79D84B.thrasher", version:0, domain:pubmedcentralcanada.ca, path:/pmcc/, expiry:null] Illegal 'path' attribute "/pmcc/". Path of origin: "/ptpicrender.fcgi"
12:34:17.383 WARN  o.a.h.c.p.ResponseProcessCookies- Invalid cookie header: "set-cookie: lang=en-ca; domain=pubmedcentralcanada.ca; path=/; expires=Sat, 04 Feb 2017 04:34:16 GMT". Invalid 'expires' attribute: Sat, 04 Feb 2017 04:34:16 GMT
12:36:45.873 WARN  o.a.h.c.p.ResponseProcessCookies- Invalid cookie header: "set-cookie: lang=en-ca; domain=pubmedcentralcanada.ca; path=/; expires=Sat, 04 Feb 2017 04:36:45 GMT". Invalid 'expires' attribute: Sat, 04 Feb 2017 04:36:45 GMT
13:01:32.063 WARN  o.a.h.c.p.ResponseProcessCookies- Cookie rejected [JSESSIONID="BF030DDD7E47E14831ABEBEF98152AE5.eider", version:0, domain:pubmedcentralcanada.ca, path:/pmcc/, expiry:null] Illegal 'path' attribute "/pmcc/". Path of origin: "/ptpicrender.fcgi"
13:01:32.476 WARN  o.a.h.c.p.ResponseProcessCookies- Cookie rejected [JSESSIONID="12E44E9A3738FA46C5658185D7FDEAAE.eider", version:0, domain:pubmedcentralcanada.ca, path:/pmcc/, expiry:null] Illegal 'path' attribute "/pmcc/". Path of origin: "/ptpicrender.fcgi"
13:02:39.411 WARN  o.a.h.c.p.ResponseProcessCookies- Invalid cookie header: "set-cookie: lang=en-ca; domain=pubmedcentralcanada.ca; path=/; expires=Sat, 04 Feb 2017 05:02:38 GMT". Invalid 'expires' attribute: Sat, 04 Feb 2017 05:02:38 GMT
13:04:33.484 WARN  o.a.h.c.p.ResponseProcessCookies- Cookie rejected [JSESSIONID="5E3C9CFE16C3D8820B33B3C44032DA61.eider", version:0, domain:pubmedcentralcanada.ca, path:/pmcc/, expiry:null] Illegal 'path' attribute "/pmcc/". Path of origin: "/ptpicrender.fcgi"
13:06:00.452 WARN  o.a.h.c.p.ResponseProcessCookies- Invalid cookie header: "set-cookie: lang=en-ca; domain=pubmedcentralcanada.ca; path=/; expires=Sat, 04 Feb 2017 05:05:59 GMT". Invalid 'expires' attribute: Sat, 04 Feb 2017 05:05:59 GMT
13:24:33.925 WARN  o.a.h.c.p.ResponseProcessCookies- Invalid cookie header: "set-cookie: lang=en-ca; domain=pubmedcentralcanada.ca; path=/; expires=Sat, 04 Feb 2017 05:24:33 GMT". Invalid 'expires' attribute: Sat, 04 Feb 2017 05:24:33 GMT
13:24:35.617 WARN  o.a.h.c.p.ResponseProcessCookies- Invalid cookie header: "set-cookie: lang=en-ca; domain=pubmedcentralcanada.ca; path=/; expires=Sat, 04 Feb 2017 05:24:35 GMT". Invalid 'expires' attribute: Sat, 04 Feb 2017 05:24:35 GMT
13:29:56.585 WARN  o.a.h.c.p.ResponseProcessCookies- Invalid cookie header: "set-cookie: lang=en-ca; domain=pubmedcentralcanada.ca; path=/; expires=Sat, 04 Feb 2017 05:29:52 GMT". Invalid 'expires' attribute: Sat, 04 Feb 2017 05:29:52 GMT
13:33:39.092 WARN  o.a.h.c.p.ResponseProcessCookies- Invalid cookie header: "set-cookie: lang=en-ca; domain=pubmedcentralcanada.ca; path=/; expires=Sat, 04 Feb 2017 05:33:38 GMT". Invalid 'expires' attribute: Sat, 04 Feb 2017 05:33:38 GMT
13:44:07.438 WARN  o.a.h.c.p.ResponseProcessCookies- Cookie rejected [JSESSIONID="A4CE7384016E2ED67F4168238C94E696.thrasher", version:0, domain:pubmedcentralcanada.ca, path:/pmcc/, expiry:null] Illegal 'path' attribute "/pmcc/". Path of origin: "/ptpicrender.fcgi"
13:55:55.059 WARN  o.a.h.c.p.ResponseProcessCookies- Invalid cookie header: "set-cookie: lang=en-ca; domain=pubmedcentralcanada.ca; path=/; expires=Sat, 04 Feb 2017 05:55:54 GMT". Invalid 'expires' attribute: Sat, 04 Feb 2017 05:55:54 GMT
